Date,Cases_Guinea,Cases_Liberia,Cases_SierraLeone,Cases_Nigeria,Cases_Senegal,Cases_UnitedStates,Cases_Spain,Cases_Mali,Deaths_Guinea,Deaths_Liberia,Deaths_SierraLeone,Deaths_Nigeria,Deaths_Senegal,Deaths_UnitedStates,Deaths_Spain,Deaths_Mali
13/01/15,2825,,10186,,,,,,1829,,3083,,,,,
12/01/15,2817,8362,10150,,,,,,1821,3556,3067,,,,,
11/01/15,2806,8331,10124,,,,,,1814,3538,3062,,,,,
10/01/15,2799,,10094,,,,,,1807,,3049,,,,,
07/01/15,2793,8278,,,,,,,1797,3515,,,,,,
06/01/15,,8263,10030,,,,,,,3515,2977,,,,,
05/01/15,2776,,,,,,,,1786,,,,,,,
04/01/15,2775,,9780,,,,,,1781,,2943,,,,,
03/01/15,2769,8166,9772,,,,,,1767,3496,2915,,,,,
02/01/15,,8157,,,,,,,,3496,,,,,,
31/12/14,2730,8115,9633,,,,,,1739,3471,2827,,,,,
28/12/14,2707,8018,9446,,,,,,1709,3423,2758,,,,,
27/12/14,2695,,9409,,,,,,1697,,2732,,,,,
24/12/14,2630,7977,9203,,,,,,1654,3413,2655,,,,,
21/12/14,2597,,9004,,,,,,1607,,2582,,,,,
20/12/14,2571,7862,8939,,,,,,1586,3384,2556,,,,,
18/12/14,,7830,,,,,,,,3376,,,,,,
17/12/14,,,8759,,,,,,,,2477,,,,,
16/12/14,2453,,,,,,,,1550,,,,,,,
14/12/14,2416,7819,8356,,,,,,1525,3346,2085,,,,,
13/12/14,2394,,8273,,,,,,1518,,2033,,,,,
10/12/14,2354,,8069,,,,,,1462,,1899,,,,,
09/12/14,2339,7797,8014,,,,,,1454,3290,1857,,,,,
07/12/14,2292,7765,7897,,,,,,1428,3222,1768,,,,,
06/12/14,2283,,7798,,,,,,1412,,1742,,,,,
03/12/14,,7719,,,,,,,,3177,,,,,,
02/12/14,2186,,,,,,,,1349,,,,,,,
01/12/14,,,7420,,,,,,,,1609,,,,,
30/11/14,2164,,7312,,,,,,1327,,1583,,,,,
29/11/14,,7650,,,,,,,,3155,,,,,,
28/11/14,2155,7635,7109,,,,,,1312,3145,1530,,,,,
25/11/14,2123,,6802,,,,,,1284,,1463,,,,,
24/11/14,,7244,,,,,,,,3029,,,,,,
23/11/14,2134,,6599,20,1,4,1,7,1260,,1398,8,0,1,0,6
22/11/14,,7168,,,,,,,,3016,,,,,,
18/11/14,2047,7082,6190,20,1,4,1,6,1214,2963,1267,8,0,1,0,6
16/11/14,1971,,6073,20,1,4,1,5,1192,,1250,8,0,1,0,5
15/11/14,,7069,,,,,,,,2964,,,,,,
11/11/14,1919,,5586,20,1,4,1,4,1166,,1187,8,0,1,0,3
10/11/14,,6878,,,,,,,,2812,,,,,,
09/11/14,1878,,5368,20,1,4,1,1,1142,,1169,8,0,1,0,1
08/11/14,,6822,,,,,,,,2836,,,,,,
04/11/14,,6619,4862,20,1,4,1,1,,2766,1130,8,0,1,0,1
03/11/14,1760,,,,,,,,1054,,,,,,,
02/11/14,1731,,4759,20,1,4,1,1,1041,,1070,8,0,1,0,1
31/10/14,,6525,,,,,,,,2697,,,,,,
29/10/14,1667,,5338,20,1,4,1,1,1018,,1510,8,0,1,,1
27/10/14,1906,,5235,20,1,4,1,1,997,,1500,8,0,1,,1
25/10/14,,6535,,,,,,,,2413,,,,,,
22/10/14,,,3896,,,4,1,1,,,1281,,,1,,1
21/10/14,1553,,,,,,,,926,,,,,,,
19/10/14,1540,,3706,20,1,3,1,,904,,1259,8,0,1,,
18/10/14,,4665,,,,,,,,2705,,,,,,
14/10/14,1519,,3410,20,1,3,1,,862,,1200,8,0,,0,
13/10/14,,4262,,,,,,,,2484,,,,,,
12/10/14,1472,,3252,20,1,2,1,,843,,1183,8,0,1,0,
11/10/14,,4249,,,,,,,,2458,,,,,,
08/10/14,,,2950,20,1,1,1,,,,930,8,0,1,0,
07/10/14,1350,4076,,,,,,,778,2316,,,,,,
05/10/14,1298,,2789,20,1,1,,,768,,879,8,0,0,,
04/10/14,,3924,,,,,,,,2210,,,,,,
01/10/14,1199,3834,2437,20,1,1,,,739,2069,623,8,0,0,,
28/09/14,1157,3696,2304,20,1,,,,710,1998,622,8,0,,,
23/09/14,1074,3458,2021,20,1,,,,648,1830,605,8,0,,,
21/09/14,1022,3280,1940,20,1,,,,635,1677,597,8,0,,,
20/09/14,,,1813,,,,,,,,593,,,,,
19/09/14,1008,,,,,,,,632,,,,,,,
17/09/14,,3022,,,,,,,,1578,,,,,,
14/09/14,942,2710,1673,,,,,,601,1459,562,,,,,
13/09/14,936,,1620,21,1,,,,595,1296,562,8,0,,,
10/09/14,899,,1478,21,1,,,,568,,536,8,,,,
09/09/14,,2407,,,,,,,,,,,,,,
07/09/14,861,2081,1424,21,3,,,,557,1137,524,8,0,,,
05/09/14,812,1871,1261,22,1,,,,517,1089,491,8,,,,
31/08/14,771,1698,1216,21,1,,,,494,871,476,7,,,,
26/08/14,648,1378,1026,17,,,,,430,694,422,6,,,,
20/08/14,607,1082,910,16,,,,,406,624,392,5,,,,
18/08/14,579,972,907,15,,,,,396,576,374,4,,,,
16/08/14,543,834,848,15,,,,,394,466,365,4,,,,
13/08/14,519,786,810,12,,,,,380,413,348,4,,,,
11/08/14,510,670,783,12,,,,,377,355,334,3,,,,
09/08/14,506,599,730,13,,,,,373,323,315,2,,,,
06/08/14,495,554,717,13,,,,,367,294,298,2,,,,
04/08/14,495,516,691,9,,,,,363,282,286,1,,,,
01/08/14,485,468,646,4,,,,,358,255,273,1,,,,
30/07/14,472,391,574,3,,,,,346,227,252,1,,,,
27/07/14,460,329,533,1,,,,,339,156,233,1,,,,
23/07/14,427,249,525,0,,,,,319,129,224,0,,,,
20/07/14,415,224,454,,,,,,314,127,219,,,,,
17/07/14,410,196,442,,,,,,310,116,206,,,,,
14/07/14,411,174,397,,,,,,310,106,197,,,,,
12/07/14,406,172,386,,,,,,304,105,194,,,,,
08/07/14,409,142,337,,,,,,309,88,142,,,,,
06/07/14,408,131,305,,,,,,307,84,127,,,,,
02/07/14,412,115,252,,,,,,305,75,101,,,,,
30/06/14,413,107,239,,,,,,303,65,99,,,,,
22/06/14,,51,,,,,,,,34,,,,,,
20/06/14,390,,158,,,,,,270,,34,,,,,
19/06/14,,41,,,,,,,,25,,,,,,
18/06/14,390,,136,,,,,,267,,28,,,,,
17/06/14,,,97,,,,,,,,49,,,,,
16/06/14,398,33,,,,,,,264,24,,,,,,
10/06/14,351,13,89,,,,,,226,24,7,,,,,
05/06/14,,13,81,,,,,,,,6,,,,,
03/06/14,344,13,,,,,,,215,12,6,,,,,
01/06/14,328,13,79,,,,,,208,12,6,,,,,
28/05/14,291,13,50,,,,,,193,12,6,,,,,
27/05/14,281,12,16,,,,,,186,11,5,,,,,
23/05/14,258,12,,,,,,,174,11,,,,,,
12/05/14,248,12,,,,,,,171,11,,,,,,
10/05/14,233,12,,,,,,,157,11,,,,,,
07/05/14,236,13,,,,,,,158,11,,,,,,
05/05/14,235,13,,,,,,,157,11,,,,,,
03/05/14,231,13,,,,,,,155,11,,,,,,
01/05/14,226,13,,,,,,,149,11,,,,,,
26/04/14,224,,,,,,,,143,,,,,,,
24/04/14,,35,,,,,,,,,,,,,,
23/04/14,218,,,,,,,,141,,,,,,,
22/04/14,,,,,,,,,,,,,,,,
21/04/14,,34,,,,,,,,11,,,,,,
20/04/14,208,,,,,,,,136,,,,,,,
17/04/14,203,27,,,,,,,129,,,,,,,
16/04/14,197,27,,,,,,,122,13,,,,,,
15/04/14,,,12,,,,,,,,,,,,,
14/04/14,168,,,,,,,,108,,,,,,,
11/04/14,159,26,2,,,,,,106,13,2,,,,,
09/04/14,158,25,2,,,,,,101,12,2,,,,,
07/04/14,151,21,2,,,,,,95,10,2,,,,,
04/04/14,143,18,2,,,,,,86,7,2,,,,,
01/04/14,127,8,2,,,,,,83,5,2,,,,,
31/03/14,122,8,2,,,,,,80,4,2,,,,,
29/03/14,112,7,,,,,,,70,2,,,,,,
28/03/14,112,3,2,,,,,,70,3,2,,,,,
27/03/14,103,8,6,,,,,,66,,,,,,,
26/03/14,86,,,,,,,,62,,,,,,,
25/03/14,86,,,,,,,,60,,,,,,,
24/03/14,86,,,,,,,,59,,,,,,,
22/03/14,49,,,,,,,,29,,,,,,,
